title,body,impact,urgency,priority
Wrong Service Name,"This service name is wrong

!image-2019-02-22-00-09-25-116.png!

 

Please update the name to *Application for Addition of Cremated Remains to Niche/Grave*",3,3,3
Wrong Side Menu Header,!image-2019-01-10-17-57-41-959.png!,3,3,3
Wrong Side Menu Header for Cron Job,!image-2019-01-10-15-41-01-462.png!,3,3,3
Wrong Side Menu Title and Breadcrumb,"The side menu title should be Code Master Maintenance meanwhile the breadcrumb is Home > Code Master Maintenance

!image-2019-01-16-12-34-03-182.png!",3,3,3
"Wrong Title, Side Menu Title, and Breadcrumb","Module Name: System Configuration
Side Menu/Title: Configuration List

Breadcrumb: Home > System Configuration

!image-2019-01-16-15-09-58-540.png!",3,3,3
Wrong User Menu,"Remove All of This Option and put the logout option

!image-2019-01-23-16-01-35-070.png!",3,3,3
Wrong Validation,"I try to put the correct FIN, but the system still throw an error

!image-2019-04-03-22-08-24-664.png!",2,2,2
Wrong Validation Message for Postal Code Error Message,"Building plan consultation form. Also Inline error message postal code not show max character limit. It should be ""Please enter a valid Singapore Postal Code (Maximum Character limit is 6)

!image-2019-02-15-17-10-54-153.png!

 

  !https://lh3.googleusercontent.com/-paKuUfWSKeI/XJSHG2FsXBI/AAAAAAAAErk/xnJECwHb1rcVTZnCfgosWHuqaUpdukoLwCK8BGAs/s0/2019-03-21.png!",3,3,3
Wrong Validation and Different Styling Uploader eDocument,"Wrong validation for Mobile Number, also the uploader have a different style with the other module. Example Content management uploader

!image-2019-04-03-22-30-40-309.png!",3,3,3
Wrong Validation for Bulk Create User,"Based on the error message, you should not limit the creation to 5 users. Also you need to cancel the creation for the whole excel file if any of the data is incorrect

!image-2019-02-09-00-03-05-020.png!",1,1,1
Wrong ePayment Card Redirection,"After clicking on this card, I will redirect me to a blank page of ePayment. Please see the screenshot

!image-2019-04-10-19-31-02-297.png!

!image-2019-04-10-19-32-31-521.png!",3,3,3
Wrong limit for text fields,"These fields limit should be 1,000. During testing, 990 character is the max limit.

!image-2019-01-17-17-59-14-926.png!",3,3,3
Wrong side menu header,"The side menu header should be ""Content Management""

!image-2019-01-07-15-20-37-990.png!",3,3,3
Wrong tool-tip for Scope Listing Action,See attached screenshot.,3,3,3
[Add Next of Kin form] Change title to gender,"On Deceased Information, the '*Sex*' fields should be changed to '*Gender'.* Please see the attachment. 

!image-2019-04-05-15-07-14-266.png!",3,3,3
[Add Next of Kin form] Death certificate no. should be mandatory field,"On Deceased Information, there is '*Death Certificate No*.' that should be a mandatory field. Therefore, upon clicking next without filling any fields, the fields will turn to red and inline error message will be shown as follows ""{color:#de350b}Please enter a valid Death Certificate No (Maximum character limit is 20){color}""

!image-2019-04-05-15-11-06-222.png!",2,3,3
[Automation Test] API got 502 for ePayment,"Hi All, 

Here is the list for APIs error ; 

!https://lh3.googleusercontent.com/-b3aoLqQV9wg/XNpMhi7odAI/AAAAAAAADjI/xsOU8K45QpIkIJ8PZZrdt5KCWA1zB1T1ACK8BGAs/s0/2019-05-13.png!

Please help to assist. Thanks!",1,2,2
[Automation Test] API got Error 500,"Hi all,

QA reported this Create Tak Job API got  error 500

!image-2019-05-14-15-01-52-481.png!

 

please help to fix

 

 

 ",1,2,2
[Automation Test] API got error 500 on http://internet.neaoss.xtrdev.info/api/idp/v1/int/myinfo/personbasic,"Hi all,

 

QA reported that this API [http://internet.neaoss.xtrdev.info/api/idp/v1/int/myinfo/personbasic|https://www.google.com/url?q=http://internet.neaoss.xtrdev.info/api/idp/v1/int/myinfo/personbasic&sa=D&source=hangouts&ust=1557370305039000&usg=AFQjCNGYmtYsYog9pG8qSUEwogVSLeLZmA] got error 500

!https://lh3.googleusercontent.com/-KiB41G3Jrdg/XNI-pqJGgBI/AAAAAAAADd0/S2Vh8bnWAqgYtlvgkvpn6Wiw2qNq4o-VwCK8BGAs/s0/2019-05-07.png!

Pls help to resolve

 

thanks

 ",3,3,3
[Automation Test] API got error 502  http://internet.neaoss.xtrdev.info/api/pay/v1/int/Transaction/register ,"Hi All, 

QA reported got error 502 for this API POST
 [http://internet.neaoss.xtrdev.info/api/pay/v1/int/Transaction/register|https://www.google.com/url?q=http://internet.neaoss.xtrdev.info/api/pay/v1/int/Transaction/register&sa=D&source=hangouts&ust=1557892955459000&usg=AFQjCNHpkJUaKnxYYchfYUFzwyPN8OoVLA] ",2,2,2
[Automation Test] Code Delete and Update API got Error 500,"Hi all,

 

Please help to fix

 

!image-2019-05-14-14-24-38-674.png!

 

Thanks",3,3,3
[Automation Test] Transaction API got Error 502 ,"Hi all,

 

QA reported that the transaction filter and transaction filter API got error 502

 

!image-2019-05-14-14-31-25-304.png!

 

Pls help to fix",3,3,3
[Automation Test] error 502 on POST http://internet.neaoss.xtrdev.info/pay#/dues,"Hi All, 

QA reported got error 502 on this API [http://internet.neaoss.xtrdev.info/pay#/dues]

Please assist, thanks. 

!https://lh3.googleusercontent.com/-3Z-mDu8TRRc/XNoxvRrk0dI/AAAAAAAADiE/tRv6vhJYTbIJIi0HDbGhxXG7dVZRqNHYQCK8BGAs/s0/2019-05-13.png!

 ",2,2,2
[Automation test] API got error 502,"Hi all,

 

QA reported an issue:

!https://lh3.googleusercontent.com/-3LTB2sM6l1E/XNo3MfRFhjI/AAAAAAAADiQ/9yQ5k7Rspi8IFVivJrZMWm23VWFbJcSmwCK8BGAs/s0/2019-05-13.png!

 

Pls help to look into this",3,3,3
[Common Intanet eDocument] Download button cant be clicked,"Hi all,

Please find the attached ss
 !image-2019-03-27-23-04-26-100.png|thumbnail! 

 !screenshot-1.png|thumbnail! 

thanks

-Debbie",3,3,3
[Common Internet Create Custom Account] Email field on login custom account,"Upon entering invalid email on Login with NEA ID page, system should be shown an inline error message ""**{color:#de350b}Email does not exist""{color}

{color:#de350b}!image-2019-04-18-14-18-09-605.png!{color}",3,3,3
[Common Internet Create Custom Account] Wrong inline error message,"Upon clicking next without filling any fields on *Apply for NEA ID* page, the inline error message not same with validation rule format. The inline error message should be : 

1. Name 

{color:#de350b}Please enter a valid Name (Maximum character limit is 66){color}

2. Email

{color:#de350b}Please enter a valid Email (Maximum character limit is 320){color}

3. Contact No. 

a. For singapore number : {color:#de350b}Please enter a valid Contact No. (Maximum character limit is 8 ){color}

b. For non-singapore number : {color:#de350b}Please enter a valid Contact No. (Maximum character limit is 12){color}

{color:#de350b}!image-2019-04-18-13-51-10-830.png!{color}",3,3,3
[Common Internet E-Appointment] Bug on the Service Category ,"Hi all,

The service category only have ""all categories"" in the drop down
 !image-2019-04-16-16-27-00-287.png|thumbnail! 

Thanks
-debbie",1,1,1
[Common Internet My Appointments] Upcoming and Attended keep loading,"Hi all,

The upcoming and attended tab is keep loading
 !screenshot-1.png|thumbnail! 

Pls help to look into this
Thanks 

-debbie",3,2,2
[Common Internet Pending Action] Not receive email,"Hi all,

After submit the follow up form, we suppose to get email according to this msg

 

!image-2019-04-16-19-44-32-020.png!

But I didn't received email

Thanks
-debbie",3,3,3
[Common Internet Pending Action]Missing Email and Download button on acknowledgement page,"After successful following up an pending action, there are should be email and download button on acknowledgement page. Also submission date and time. 

!image-2019-04-18-15-16-00-694.png!

We can refer into this 

!image-2019-04-18-15-17-20-803.png!",3,3,3
[Common Internet Pending Actions (Mobile)] Cannot see Pending Actions detai page,"Upon clicking the Pending Actions card, system should be directed user to the pending actions detail page. But, as can be seen on attachment the card cannot be clicked. 

 ",2,3,2
[Common Internet eDocument (Mobile)] Advance search not working properly,"Here are some error that found while testing : 
 # After trying to search a certain document, the system not show the result
 # After clicking on ""*Clear*"" button the system not show the list default
 # After clicking on Cross Button, the advance search not closed.",3,3,3
[Common Internet eDocument (Mobile)] Card on Outbound Document tab cannot be clicked,"Upon clicking on *Outbound Document* and clicking on the card, the system not directed user to download or see the detail of the document. Should be downloadable. Please see the attachment. ",2,2,2
[Common Internet eDocument] Advance search feature not working properly,"Hi all, 

I found some bugs for *Advance Search* feature on Outbound Document Tab. 
 # There is an error styling on the advance search list as squared below.   !image-2019-03-28-10-19-10-627.png!
 # The list is not complete. As can be seen on the attachment above, there is only '*Status*' field on the list. Should be added *Issue date and Related Application field*
 # The *Status on the advance search list* should be changes from ""Ready"", ""Requesting"", ""Archived"" into ""Ready to request"" and ""Ready to Download"". 
 # After trying to use the advance search feature and clicking on *search button*, the *system not show the result*. Also after trying to click on *Clear button*, the system *not show the default list*. Please refer to the GIF attachment. ",3,3,3
[Common Internet eDocument] No Eye Icon on the Outbound document,"Hi all

On test case: 
 !screenshot-2.png|thumbnail! 
On xdev:

 !screenshot-1.png|thumbnail! 


Thanks
-debbie",2,3,3
[Common Internet eDocument] Outbound document  Clear button not working,"Hi all,

I filter the outbound document to ""Ready to Request"" then it return like this
 !image-2019-04-16-20-20-42-876.png|thumbnail!  

Then pressed ""Clear"" then it will be like this:
 !image-2019-04-16-20-21-25-565.png|thumbnail! 

Pls help to look into
Thanks
-debbie
",3,3,3
[Common Internet eDocument] Pagination feature not working properly,"After clicking on '>' and '>>' icon at the pagination part, the system should be shown the next page and the last page of the document list.  Please refer to the attachment.

 ",3,3,3
[Common Internet eDocument] Pagination issue,"Hi all,

Pagination issue on the My Document Listing
 !image-2019-04-16-19-56-05-667.png|thumbnail! 

Page 1 of 0

Thanks
-debbie",3,3,3
[Common Internet eDocument] Search bar feature not working properly,"After trying to search a document using search bar, the system not show the result. Please refer to the attachment. It happens on *Inbound document tab and Outbound Document Tab.* 

 ",3,3,3
[Common Internet eDocument] Unable t download,"Hi all,

Encountered an issue while trying to download the eDocument.
 !image-2019-04-16-20-32-37-643.png|thumbnail! 

Not downloading file while clicked
Please help to look into this

Thanks
-debbie
",2,3,3
[Common Internet ePayment (Mobile)] Advance search feature not working properly,"Upon using the *advance search feature to search a certain transaction list*, the system *not show the result* and the advance search *cannot be closed*. It should be can be closed by clicking on the cross button, and the result will show upon entering all the information required. Please see the attachment. 

 ",3,3,3
[Common Internet ePayment (Mobile)] Advance search not working properly,"After trying to use the advance search feature, the system not showing the search result and the advance search list cannot be closed. The system should be shown the search result upon using advance search and the advance search list should be closed after clicking the cross button. Please refer to the attachment. ",3,3,3
[Common Internet ePayment (Mobile)] Cannot directed to home page,"Trying to click '*Home*' button at the top of the page. But the system not directed to the homepage. Please see the attachment

 ",3,3,3
[Common Internet ePayment (Mobile)] Cannot edit the due amount,"Cannot edit the due amount. Trying to click the square to edit the amount but the system always redirect me to the detail page. Please see the attachment. Thanks

!image-2019-03-28-11-29-18-286.png!",2,2,2
[Common Internet ePayment (Mobile)] Card on Transaction tab cannot be clicked,"Upon clicking on the *transaction list card*, the system *not directed user to the transaction detail page*. It should be directed user to the transaction detail page after clicking on the card. Please check the attachment. ",2,2,2
[Common Internet ePayment (mobile)] Cannot see the transactions detail page,"After searching for *a transactions* on Transactions Tab and *clicking on the card*, the system not directed user to the transaction detail page. Upon clicking the card, user should be directed to transaction detail page. Please refer to the attachment

 ",2,2,2
[Common Internet ePayment] Advance Search on transaction tab not showing result,"Upon using advance search to search amount between 20  - 300, the system not show all the list that has amount between that. Should be shown all the transaction list that has amount between 20-300. Please see the attachment. ",3,3,3
[Common Internet ePayment] The due amount cannot be edited on editable due,"Upon clicking '*Pay for someone*' and filling the *NRIC/FIN/UEN/Passport No.* using G3411414K. The search result show the list of dues. But for due with reference No. NE08303E000 should be editable.  Since on outstanding tab the amount due for the same Reference no is editable. Please see the attachment

!image-2019-03-29-14-01-44-775.png!

!image-2019-03-29-14-02-16-411.png!

 ",2,2,2
"[Common Internet, Custom Account e-Document] Pagination Bug","Hi all,

Got bug on the e-Doc while login using custom account
 !image-2019-04-16-17-52-21-946.png|thumbnail! 

Page 1 of 0

Thanks

-debbie",3,3,3
"[Common Internet, Custom Account e-Payment] No Make Payment button","Hi all,

Got no ""Make Payment Button""

 !image-2019-04-16-17-02-00-328.png|thumbnail! 

Pls help look into this

Thanks
-debbie
cc: [~aisyah]",1,2,2
[Common Internet] Rate This Website not working.,"Test Case ID: NEA OSS_Rate_Our_Website

!image-2019-01-26-23-38-27-831.png|thumbnail!

Click on the link, nothing happened.",3,3,3
[Common Internet] Search field not working,"Hi all,

 

when tying the e-service it does not return suggestion

!image-2019-04-16-16-21-53-163.png!

But when checking in the list of eService the Testing A is exist
 !image-2019-04-16-16-23-21-422.png|thumbnail! 

Pls help look into it.

Thanks
-debbie

cc: [~aisyah]",3,3,3
[Common Intranet Code Master Maintenance] Error in pagination after deleting a Code List,"After deleting a code listing, and trying to test the pagination display, the page not show the proper number of code listing that should be shown. Please see the attachment

 ",3,3,3
[Common Intranet Healthcheck] Advance Search on function list page incorrect,"After performing the steps below on *Healtcheck - Service page*, the advance search list should show the result and the service name on the dropdown list will be filled automatically
 # Search 'ePaymentTest' on the search bar
 # Click on 'Function' button on action tab
 # Click on the filter button and fill the advance search list with these following info, then click on search button : 

           a. Description : to test the creation of service

           b. Status : Created

           c. Method : GET

Please see the attachment. ",3,3,3
[Common Intranet Healthcheck] Cannot delete the service list,"Upon clicking on delete button, and click 'yes' on popup confirmation, the service list cannot be deleted and popup error message shown on the top of the page. Please see the attachment

 ",3,2,2
[Common Intranet Login & Dashboard] Active Application Service shown twice on the page,"Finding bug while testing, the 'Active Application Service' section is shown twice on the page as follows

!image-2019-04-01-16-58-19-542.png!",3,3,3
[Common Intranet Pending Action] No Pop Up Message when deleting,"Hi all,

When I try to delete the item it has no confirmation pop up,
so the file immediately deleted

 !image-2019-03-27-23-30-35-414.png|thumbnail! 

pls assist

-debbie",3,3,3
[Common Intranet Pending Action] Not able create Action on Pending Action List,"Hi all,

Found a bug while testing 


 !image-2019-03-27-23-22-48-596.png|thumbnail! 
 !image-2019-03-27-23-21-30-814.png|thumbnail! 


Thanks

-debbie",2,1,1
[Common Intranet Report Management] Please provide some missing report name,"After checking the report management module, there are some report name that haven't added to the module.  Here are some report name that should be provided :

1. *Error or Warning Logs Up to Seconds* under *Application Logs* report type

2. *Number of interface requests* under *Interface Usage Reports* report type

3. *List of User Accounts and Its Permission* under *Access management* report type

4. *List of User Access to The System During Odd Period* under  *Audit Report* report type

 ",1,1,1
[Common Intranet e-Appointment] Can't create the appointment,"Hi all,

not sure if it's behaviour but got no ""create appointment"" on the e-Appointment.
 !image-2019-03-27-22-52-08-638.png|thumbnail! 

Pls check thanks
-debbie",1,1,1
[Common Intranet e-Payment] Epayment not sorted according to date,"Hi all,

*Input*: 
Transaction Date & Time: ""18/03/2018 10:00"" - ""22/03/2018 15:00""
Payment Method: Credit Card
Revenue Type: NEA
*Expected **result*: The system will suggest list of ePayment that submitted based on the advance search criteria

 !image-2019-03-27-22-56-25-269.png|thumbnail! 
-debbie",3,3,3
[Common Intranet eApplication] Cannot export the application list,"After clicking '*Export*' button beside search bar on eApplication - Application Listing page, the file cannot be exported. Please see the attachment. 

 ",3,3,3
[Common Intranet eApplication] Missing Operational User as option under approval role,"After clicking ""Create Service"" under eApplication Page, the approval role doesn't have any operational user as option. It should be included as option in approval role. 

!image-2019-04-01-17-34-13-839.png!",2,2,2
[Common Intranet eAppointment] Service Category dropdowngot no value ,"Hi all

On the eAppointment form the listing for service category and subcategory's dropdown 
got no value
 !image-2019-03-27-23-32-35-583.png|thumbnail! 

pls assist
thanks
-debbbie",3,3,3
[Common Intranet ePayment] System not suggested accordingly to test case,"Hi all

Expected:
The system will suggest list of MerchantTxnRef that consist ""EN2910291"" eNETS Transaction No., ""S12938213"" User ID, with effective date range between ""14/03/2012"" - ""22/10/2016"", payment method ""Credit Card"" and Revenue type ""NEA"".

 !image-2019-03-27-23-07-41-744.png|thumbnail! 

Thanks
-debbie
",3,3,3
[Common Intranet] E-appointment  Service List not shown from Global context Menu,"When access from the: 

!image-2019-03-27-17-54-16-148.png!

It returns: 
 !image-2019-03-27-17-55-58-596.png|thumbnail! 

Thanks
-debbie",3,3,3
[FPD Forms Add/Update of Particular of Next of Kin or Original Applicant & Letter of Authorisation for Third Party Application Services] Unable login with custom account,"Hi reporting an error while login with custom acc for FPD Modules:

 

1. Search services
|Add/Update of Particular of Next of Kin or Original Applicant|
|Letter of Authorisation for Third Party Application Services|

 

2. Get redirected to the service detail.

3. Login with NEA account

4. Return 404 error !image-2019-04-19-15-50-13-367.png!",2,1,1
"[For ePortal Team] FW: ENQUIRE ON APPLICATION FOR WORK ON SUNDAY: Case notification [Enquiry-Noise-Quieter Construction Fund/QCF], | CRM:0002902","*Reporter* : Lim Ee Khoon ** 

*Assignee :* %Jason%

*Details :* 

feedback on ePortal tech issue. Applicant is unable to submit the application. Please see comments below and update. Thanks

CCECC Singapore Pte Ltd
UEN - 199906762N

Enquiry on application for quieter construction work via e-portal, but not able to do so.
When they key in everything, once click submit, it says service is unavailable.
Since yesterday 23 sept 2019 till now, they encountered same issues.
The application since then is saved as draft.
Request assistance.",1,1,1
[Incineration Plant Visit and Semakau Landfill Form] Appointment Information field incomplete,"On Appointment Information, there should be Appointment URL, Appointment Reference Number, Appointment Date, and Appointment Time field. Currently the form only show some fields as follows 

!image-2019-04-05-15-41-53-030.png!

!image-2019-04-05-15-42-18-789.png!",2,2,2
[Internet Eappointment] Able to book outside of operation hour,"I can book at 00:00 but in intranet the operation hour is 09:30 - 16:30

!image-2019-07-03-21-40-41-335.png!

!image-2019-07-03-21-41-33-361.png!

 

link to intranet service config: [http://intranet.neaoss.xtrdev.info/apt/#/service/detail?id=17b8e44f-719d-48a9-b33b-5a5e1c921870]",2,2,2
[Internet Form] Bug in file validation,"I uploaded a file within the size limit but get invalid input

!image-2019-06-30-19-47-22-827.png!

please check if this is common issue on forms and help fix for all
thx
CC [~nicholas.posma]",2,2,2
[Internet Form] Button action on confirmation page is disabled after received unsuccessful response for submission,"I logged in as custom account and opened my draft to edit:

!image-2019-06-30-19-33-59-072.png! I get 200 for save draft on clicking next, and 400 on submit:

!image-2019-06-30-19-35-30-405.png!

after I closed the blocker, I can't trigger any action on the buttons, they are just not doing anything:

!image-2019-06-30-19-36-26-446.png!

Please check if this is a common problem on the forms. And help fix for all. Thx",2,2,2
[Internet Form] Do not trigger retrieve request if there is no postal code entered,"I did not enter postal code but request can be triggered. And can see this error in console. Please don allow send retrieve address request without required parameters filled

!image-2019-04-10-16-22-38-653.png!",3,3,3
[Internet Form] Provide some FPD forms,"There are some forms that should be added to the portal for FPD department. Here are the list of form that should be added

1. Letter of Authorisation for Third Party Application Services

2. Application for Written Permission to Exhume Corpse",2,2,2
"[Internet] ""Malaysia"" not auto populated in the field for Exhumation eService",Not according to test script.,3,3,3
[Internet] Address fields in Exhumation eService not according to test script,"1) Sequence of Street Name and Floor No/Unit No

2) Optional label for the fields

3) no validation of mandatory field",3,3,3
[Internet] Address not auto-populated after I enter postal code,See attached screenshot.,2,2,2
"[Internet] After login SingPass/CorpPass, system doesn't auto route back to the selected eService",-,2,3,3
[Internet] Alignment issue for sub-header in My Applications page,See attached screenshot.,3,3,3
[Internet] Can have All option?,Quite difficult to find the service based on alphabet.,3,3,3
[Internet] Can the drop-down design look nicer?,See attached screenshot.,3,3,3
[Internet] Can the edge be rounder?,See attached screenshot.,3,3,3
[Internet] Can't clear search in Announcements page,"Missing ""X"".",3,3,3
[Internet] Contact page in ePortal not the same as NEA website,See attached screenshots.,3,3,3
[Internet] Data auto wipe-off,See attached screenshots.,1,1,1
[Internet] Data not auto-populated for SingPass login,See attached screenshot.,2,2,2
[Internet] Deleting application does not show confirmation pop-up window,"As per test case, a confirmation window should be shown before deleting the application.

In additon, the guid of the application is shown to user. Is this expected?

!image-2019-04-02-19-42-17-946.png!",3,3,3
[Internet] Error,See attached screenshot.,2,2,2
[Internet] Error downloading,See attached screenshot.,2,2,2
[Internet] Error for Emailing,See attached screenshot.,3,3,2
[Internet] Error in My Applications page,See attached screenshot.,2,2,2
[Internet] Error in My Notification page,See attached screenshot.,2,2,2
[Internet] Error in my application detail,See attached screenshot.,2,2,2
[Internet] Error linking to NEA website,"On top of that, the NEA website should be in new tab.",2,2,2
[Internet] Error loading eServices,See attached screenshot.,2,2,2
[Internet] FAQ should not be there,See attached screenshot.,3,3,3
[Internet] How do I know which one is mandatory field?,See attached screenshots.,3,3,2
[Internet] Information not captured for Exhumation eService,See attached screenshot.,2,2,2
[Internet] Loading of page is slow,See attached screenshot.,3,3,3
[Internet] Loading too slow for counts in Dashboard,See attached screenshot.,3,3,3
[Internet] Make New Application in My Applications page,The button label not tally with test script.,3,3,3
[Internet] Missing Success Image,See attached screenshot.,3,3,3
[Internet] Missing panel,See attached screenshot.,3,3,3
[Internet] NEA  ePortal should be replaced by URL in My Notification,See attached screenshot.,3,3,3
[Internet] No numeric validation for Deceased Full Name in Exhumation eService,Not according to test script.,3,3,3
[Internet] Nothing happen when I click on Next button,Can the activity with error be opened up instead?,1,2,2
[Internet] Pagination issue in Announcements page,See attached screenshots.,3,3,3
[Internet] Pending Resubmission count is wrong,See attached screenshots.,2,3,3
[Internet] Please use application error message for Exhumation eService,See attached screenshot.,3,3,3
"[Internet] Privacy Statement and Term of Use, etc",Both should link to new tab.,2,2,2
[Internet] Radiation eServices link to Google website,See attached screenshot.,3,3,3
[Internet] Retrieve button is not working,See attached screenshot.,3,3,3
[Internet] SMS received showed NEA ePortal instead of URL,-,3,3,3
[Internet] Save as Draft is not working for Exhumation eService,See attached screenshot.,2,3,2
[Internet] Save as draft not working,See attached screenshots.,2,3,2
[Internet] Search function is not working,"On top of that, the magnifying glass icon should not be at the left.

Moreover, missing ""X"".",3,3,3
[Internet] Should not have <.> since there is only 1 page,See attached screenshot.,3,3,3
[Internet] Should not have only 2 Title,See attached screenshot.,3,3,3
[Internet] System doesn't validate 8 digit for Singapore no,See attached screenshot.,3,3,3
[Internet] System no respond when upload big supporting document,Not according to test script validation,3,3,2
[Internet] Test script state Cancel Application button.,See attached screenshot.,3,3,3
[Internet] The sub-header is not according to test script,See attached screenshot.,3,3,3
[Internet] Unable to add supporting document for Exhumation eService,See attached screenshot.,1,1,1
[Internet] Unable to edit application which is pending resubmission,"According to test script, there should be Edit button.",2,2,2
[Internet] Unable to submit Exhumation form,See attached screenshot.,1,1,1
[Internet] Unable to submit Weekly Submission of Construction Activities form,See attached screenshot.,1,1,1
[Internet] View Profile links to blank page,See attached screenshots.,2,2,2
[Internet] What is the purpose of repeating the sub-header when I mouse-over in Exhumation eService?,See attached screenshot.,3,3,3
[Internet] What is this mouse-over info for?,See attached screenshot.,3,3,3
"[Internet] When I click on back button from 2nd page of Exhumation eService, some of the fields in page 1 gone missing",See attached screenshot.,1,2,2
"[Internet] When I fill-up Floor No, the previous 4 fields got blank-off",See attached screenshots.,1,2,2
[Internet] Why Filter By is there in Announcements page?,See attached screenshot.,3,3,3
[Internet] Why no back button in Weekly Submission of Construction Activities Application Form?,See attached screenshot.,3,3,3
[Internet] Why no back button?,See attached screenshot.,3,3,3
[Internet] Why the font size is different?,See attached screenshot.,3,3,3
[Internet] Why the width is different from the below section?,See attached screenshot.,3,3,3
[Internet] X to close advance search in Announcements page is confusing,See attached screenshot.,3,3,3
[Intranet Appointment] 500 error for operational user,"help help

!image-2019-07-09-22-22-05-247.png!",2,2,2
[Intranet Code Master] Home button not working,"Upon clicking on Home breadcrumb, the system not directed user to the Intranet Homepage. It should be directed user to the homepage. 

 

- Aisyah Shabrina",3,3,3
[Intranet eDocument] Home button not working,"Upon clic !image-2019-05-02-23-06-15-215.png! king on ""Home"" button on breadcrumb, the page return blank. it should be shown the homepage

 

 ",3,3,3
[Intranet ePayment] when cleared not going back to default,"Hi all,

When press clear the listing still not updated:
",3,3,3
[Letter of Authorization for Third Party to Apply on Behalf] Got no Corpass Login,"Hi all.

On test case we need to login with corpass, but there's no option to login with corpass


 !image-2019-04-22-16-54-46-262.png|thumbnail! 


Thanks
-debbie",2,2,2
[Loan Exhibit Form] Form not recorded on My Application list,"After submitting the application, the application not recorded on My Application list. 

!image-2019-04-19-20-56-13-011.png!",1,1,1
[Loan Exhibit form] Inline error message not show,"Upon clicking next without filling any fields on Exhibit Information, the inline error message should be shown and system cannot be continued to the next page. 

Please see the attachment 

 ",3,3,3
[Loan Exhibits Form] Wrong option for loan exhibit information,"The option of topic on Exhibit Information page seems wrong, as can be seen on picture below.

!image-2019-04-19-20-14-58-221.png!

According to the document, the option should be like this 

!image-2019-04-19-20-15-36-490.png!",2,2,2
[Perf Test Internet] Improve Code,"Hi all,

 

QA reported that these codes listed need code improvement;
internet
api/ctm/v1/int/servicecategories/getimage
api/app/v1/pub/services/filter
api/ctm/v1/int/servicecategories/getall
api/ctm/v1/int/maintenance/getByName
api/ctm/v1/int/whatsnew/filter
api/utl/v1/int/inbox/GetUnreadNotificationCount
api/utl/v1/int/inbox/getallnotifications
api/apt/v1/int/services/servicebycategory
 Pls help to resolve
 
Thanks
 ",3,3,3
[Perf Test Intranet] error 500 on API Intranet,"Hi all,
  
 QA reports:
  
  
 POST [http://intranet.neaoss.xtrdev.info/api/hck/v1/intr/service/filter|https://www.google.com/url?q=http://intranet.neaoss.xtrdev.info/api/hck/v1/intr/service/filter&sa=D&source=hangouts&ust=1557467705032000&usg=AFQjCNH0U4vBkEr0FBVdjX2c2r4rmAUjDg] -> 500
  POST [http://intranet.neaoss.xtrdev.info/api/pay/v1/intr/Transaction/filter|https://www.google.com/url?q=http://intranet.neaoss.xtrdev.info/api/pay/v1/intr/Transaction/filter&sa=D&source=hangouts&ust=1557467719378000&usg=AFQjCNFWVlZ6l72xr0xdIm4j4GhUkc_X1w] -> 500

 

!2019-05-08.png!
  
 Pls help to rectify
  
 Thanks
  ",3,3,3
[Perf Test] API Not Found 404 for   http://internet.neaoss.xtrdev.info/api/pda/v1/actions/top3,"Hi all,

 

QA reported that API not found (error 404) for   [http://internet.neaoss.xtrdev.info/api/pda/v1/actions/top3|https://www.google.com/url?q=http://internet.neaoss.xtrdev.info/api/pda/v1/actions/top3&sa=D&source=hangouts&ust=1557370577341000&usg=AFQjCNF8L1-7YDM2rKTVJQ_Rd_R0XcJw8g]

 

Pls help to resolve this issue

 

!https://lh3.googleusercontent.com/-ctyStTHecG0/XNJFUO2osSI/AAAAAAAAGco/Ux-5GB4YYvMXWaGocOkOG36Cshk2gNMEgCK8BGAs/s0/2019-05-07.png|width=1426,height=730!",2,2,2
[Perf Test] API Not Found 404 for http://internet.neaoss.xtrdev.info/api/ctm/v1/int/faqs/filter,"Hi all,

 

API Not found 404 for http://internet.neaoss.xtrdev.info/api/ctm/v1/int/faqs/filter

 

!https://lh3.googleusercontent.com/-WOoxkzm-E4w/XNI8LDYIrgI/AAAAAAAAGcc/kxA2Eq4DAZo9D8yXY-m_VM8aZje2WyzfgCK8BGAs/s0/2019-05-07.png!

 

Pls help to resolve, thanks

 

 ",3,3,3
[Perf Test] API Service by Category got Error 500,"Hi all,

 

QA reported, this API got error 500 (on service catergory0

 

  !2019-05-06.png|thumbnail!

 

Pls help to fix

 

Thanks

 ",2,2,2
[Perf Test] Building Plan Consultation Request not able upload,"Hi all,

 

QA reported that uploading file is not supported for mozilla and IE

 

 

Thanks

 ",2,2,2
[Perf Test] ERROR 500  http://internet.neaoss.xtrdev.info/api/idp/v1/int/myinfo/personbasic,"Hi all,

 

QA reported that there's Error 500 for GET  [http://internet.neaoss.xtrdev.info/api/idp/v1/int/myinfo/personbasic]

 

Thank you",2,2,2
[Perf Test] Error 404 on POST http://internet.neaoss.xtrdev.info/api/app/v1/int/applications/draft ,"Hi all,

 

QA reported that there's error 404 on Post http://internet.neaoss.xtrdev.info/api/app/v1/int/applications/draft 

 

Thanks",2,2,2
